ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,land_slope,condition_1,condition_2,bldg_type,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,misc_feature,misc_val,mo_sold,yr_sold,saleprice,porch_total,neighborhood_Blmngtn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,house_style_1.5Fin,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Flat,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_ClyTile,roof_matl_CompShg,roof_matl_Membran,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,heating_GasA,heating_GasW,heating_Grav,heating_OthW,heating_Wall,lot_config_Corner,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,electrical_FuseA,electrical_FuseF,electrical_FuseP,electrical_Mix,electrical_SBrkr,fence_GdPrv,fence_GdWo,fence_MnPrv,fence_MnWw,fence_No Fence,ms_zoning_A (agr),ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,sale_type_COD,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
60,69.05520046484602,13517,Pave,No_alley,IR1,Lvl,AllPub,Gtl,RRAe,Norm,1Fam,6,8,1976,2005,HdBoard,Plywood,BrkFace,289.0,4,TA,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,5,Y,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,1976.0,2,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,None,0,3,2010,130500,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,43.0,11492,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,7,5,1996,1997,VinylSd,VinylSd,BrkFace,132.0,4,TA,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,5,Y,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1997.0,2,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,None,0,4,2009,220000,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,68.0,7922,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,7,1953,2007,VinylSd,VinylSd,None,0.0,3,Gd,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,1,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,None,0,1,2010,109000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,73.0,9802,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,5,2006,2007,VinylSd,VinylSd,None,0.0,3,TA,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,4,Y,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,BuiltIn,2007.0,3,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,None,0,4,2010,174000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,82.0,14235,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,6,8,1900,1993,Wd Sdng,Plywood,None,0.0,3,TA,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,3,Y,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,Detchd,1957.0,1,2.0,484.0,3,3,N,0,59,0,0,0,0,0,None,0,3,2010,138500,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,137.0,16492,Pave,No_alley,IR1,Lvl,AllPub,Gtl,PosA,Norm,1Fam,6,6,1966,2002,BrkFace,Plywood,None,0.0,4,TA,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,Y,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,Attchd,1966.0,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,None,0,6,2010,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
180,35.0,3675,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Norm,Norm,TwnhsE,6,5,2005,2006,VinylSd,VinylSd,BrkFace,82.0,3,TA,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,4,Y,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,Basment,2005.0,3,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,None,0,6,2006,140000,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,69.05520046484602,12160,Pave,No_alley,IR1,Lvl,AllPub,Gtl,Norm,Norm,1Fam,5,5,1959,1959,Plywood,Plywood,BrkFace,180.0,3,TA,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,2,Y,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,2,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,None,0,5,2010,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20,69.05520046484602,15783,Pave,No_alley,Reg,Lvl,AllPub,Gtl,Artery,Norm,1Fam,5,5,1952,1952,Wd Sdng,Wd Sdng,None,0.0,3,TA,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,3,Y,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,1952.0,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,0,Shed,400,6,2007,112500,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,70.0,11606,Pave,No_alley,IR1,HLS,AllPub,Sev,Norm,Norm,1Fam,5,5,1969,1969,Plywood,Plywood,BrkFace,192.0,3,TA,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,Y,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,Attchd,1969.0,1,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,None,0,9,2007,135000,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
